Company Name,Country,Sector,Subsector,Revenue (USD),Growth Rate,Investors,Notes,EBITDA Margin (%),Net Profit Margin (%),ROE (%),ROA (%),Debt-to-Equity,Current Ratio,Quick Ratio,Cash Conversion Cycle (days),Inventory Turnover,Asset Turnover
MENA Logistics Co 50,Bahrain,Logistics,Freight,11958964.62,28%,ADQ,Scaling rapidly in e-commerce delivery,18.59,19.26,5.42,10.26,1.13,1.41,1.95,59.0,4.29,1.38
MENA Logistics Co 51,Qatar,Logistics,Cold Chain,41160670.23,11%,STV,Established regional presence,8.25,19.61,12.75,14.64,1.64,1.26,1.55,48.0,6.84,2.44
MENA Logistics Co 52,Morocco,Logistics,Last-Mile Delivery,6214245.54,15%,Global Founders,Tech-enabled fleet management,24.23,12.3,5.22,8.74,1.74,0.84,0.95,113.0,5.64,1.49
MENA Logistics Co 53,Qatar,Logistics,Cold Chain,10003600.2,21%,None,Established regional presence,20.52,8.82,20.37,13.99,1.84,2.26,0.66,45.0,7.37,1.35
MENA Logistics Co 54,Egypt,Logistics,Crowdsourced Delivery,3513642.39,39%,Sequoia,Established regional presence,24.22,11.56,23.14,4.28,0.94,1.46,0.65,102.0,6.63,1.53
MENA Logistics Co 55,Morocco,Logistics,Warehouse Automation,24054724.47,25%,ADQ,Established regional presence,26.34,6.05,16.73,8.61,1.39,2.5,1.6,42.0,5.79,0.99
MENA Logistics Co 56,UAE,Logistics,Last-Mile Delivery,30503760.54,15%,BECO Capital,New warehouse in GCC free zone,28.61,9.3,13.63,9.32,0.6,1.88,0.63,78.0,7.65,1.05
MENA Logistics Co 57,Qatar,Logistics,Freight,27128712.23,18%,ADQ,New warehouse in GCC free zone,16.93,14.72,3.05,11.36,0.58,1.28,1.71,75.0,4.23,0.72
MENA Logistics Co 58,Egypt,Logistics,Cold Chain,42648608.07,31%,ADQ,High customer satisfaction,23.11,13.17,7.83,12.05,1.26,1.85,1.76,54.0,9.64,0.66
MENA Logistics Co 59,Oman,Logistics,Crowdsourced Delivery,31006979.7,11%,Wamda,Established regional presence,16.89,13.58,8.69,7.13,1.77,2.22,1.21,56.0,4.25,0.91
MENA Logistics Co 60,Jordan,Logistics,Crowdsourced Delivery,12027174.59,17%,SoftBank,Established regional presence,23.05,9.72,6.99,10.39,1.61,1.51,1.2,43.0,7.86,1.12
MENA Logistics Co 61,Morocco,Logistics,Last-Mile Delivery,11578154.74,21%,Raed Ventures,Tech-enabled fleet management,9.59,1.52,19.68,3.86,0.84,1.91,1.76,86.0,10.7,1.19
MENA Logistics Co 62,Morocco,Logistics,Last-Mile Delivery,20781808.67,14%,Global Founders,Tech-enabled fleet management,7.85,8.08,24.94,3.28,0.63,1.82,0.69,99.0,8.63,1.19
MENA Logistics Co 63,Bahrain,Logistics,Cold Chain,8004339.42,23%,STV,Recently raised Series B,9.94,3.83,5.66,12.09,0.22,2.28,1.34,87.0,10.28,1.16
MENA Logistics Co 64,Bahrain,Logistics,Crowdsourced Delivery,12930874.65,40%,Raed Ventures,Scaling rapidly in e-commerce delivery,21.76,10.73,15.81,9.63,1.61,2.45,1.93,94.0,11.13,2.2
MENA Logistics Co 65,KSA,Logistics,Express,32005783.63,36%,BECO Capital,Established regional presence,11.86,19.92,22.6,14.62,0.23,0.88,0.57,102.0,10.35,1.06
MENA Logistics Co 66,Morocco,Logistics,Cold Chain,47079524.65,29%,Wamda,Established regional presence,13.96,6.79,9.15,14.7,0.32,1.46,1.58,73.0,3.39,0.96
MENA Logistics Co 67,KSA,Logistics,Express,9992288.62,34%,Raed Ventures,New warehouse in GCC free zone,23.65,12.43,16.0,9.79,0.64,2.1,1.97,90.0,5.91,1.64
MENA Logistics Co 68,Qatar,Logistics,Cold Chain,10559080.55,36%,Wamda,High customer satisfaction,28.56,16.86,12.23,11.54,0.58,1.73,1.28,91.0,7.21,0.52
MENA Logistics Co 69,Bahrain,Logistics,Cold Chain,25350575.87,14%,Raed Ventures,Scaling rapidly in e-commerce delivery,21.62,12.01,18.2,9.94,1.43,2.28,1.03,42.0,8.7,2.15
MENA Logistics Co 70,Qatar,Logistics,Express,37700245.7,25%,Global Founders,Established regional presence,8.15,1.51,13.63,6.94,0.97,1.0,1.17,48.0,7.22,1.24
MENA Logistics Co 71,Qatar,Logistics,Cold Chain,8451498.8,39%,SoftBank,High customer satisfaction,27.74,8.92,3.5,8.38,0.85,1.7,0.8,48.0,6.74,2.04
MENA Logistics Co 72,UAE,Logistics,Cold Chain,25707724.18,23%,SoftBank,Established regional presence,28.91,9.91,20.91,6.62,1.47,2.16,0.7,45.0,3.09,1.98
MENA Logistics Co 73,Jordan,Logistics,Cold Chain,26480195.39,27%,Sequoia,Recently raised Series B,15.12,2.79,19.6,14.27,1.91,1.81,1.54,80.0,11.2,2.23
MENA Logistics Co 74,Oman,Logistics,Cold Chain,28138619.07,15%,STV,Tech-enabled fleet management,7.72,11.11,22.04,8.72,0.9,1.87,1.54,58.0,10.65,1.12
MENA Logistics Co 75,Morocco,Logistics,Express,26368194.13,22%,Raed Ventures,Recently raised Series B,6.36,14.74,6.74,13.32,1.44,1.96,1.05,103.0,10.7,2.36
MENA Logistics Co 76,KSA,Logistics,Cold Chain,20772662.43,29%,ADQ,New warehouse in GCC free zone,15.89,18.33,22.31,8.83,0.35,2.19,1.88,48.0,3.07,2.37
MENA Logistics Co 77,Jordan,Logistics,Cold Chain,15307290.72,36%,Raed Ventures,Scaling rapidly in e-commerce delivery,9.38,4.98,9.51,9.52,1.09,0.98,1.19,94.0,4.13,2.08
MENA Logistics Co 78,KSA,Logistics,Freight,47808676.01,25%,None,Scaling rapidly in e-commerce delivery,25.92,15.22,12.68,5.41,0.35,1.65,1.75,52.0,3.91,1.66
MENA Logistics Co 79,UAE,Logistics,Last-Mile Delivery,38718963.64,13%,Wamda,Scaling rapidly in e-commerce delivery,26.6,12.01,6.04,5.55,0.38,1.56,1.5,77.0,9.82,1.74
MENA Logistics Co 80,Egypt,Logistics,Express,10999080.59,37%,Wamda,High customer satisfaction,11.46,4.99,3.99,12.93,1.28,2.45,1.85,89.0,5.16,1.41
MENA Logistics Co 81,Egypt,Logistics,Last-Mile Delivery,10838191.3,38%,ADQ,New warehouse in GCC free zone,7.48,7.35,14.9,12.7,0.64,2.45,1.02,103.0,3.31,1.99
MENA Logistics Co 82,Morocco,Logistics,Cold Chain,10297013.49,23%,Sequoia,Scaling rapidly in e-commerce delivery,12.23,19.27,3.44,12.32,1.07,0.97,0.61,116.0,5.92,1.78
MENA Logistics Co 83,Oman,Logistics,Express,46148786.55,19%,BECO Capital,New warehouse in GCC free zone,29.19,6.03,24.99,9.03,1.01,2.18,0.89,93.0,6.0,2.27
MENA Logistics Co 84,Oman,Logistics,Express,39913546.85,31%,ADQ,High customer satisfaction,16.86,11.75,23.63,4.08,0.6,1.79,0.93,32.0,8.99,0.5
MENA Logistics Co 85,KSA,Logistics,Cold Chain,41631827.67,25%,STV,Scaling rapidly in e-commerce delivery,13.7,18.86,22.2,9.31,1.61,1.9,1.9,105.0,7.95,2.13
MENA Logistics Co 86,Egypt,Logistics,Express,10660754.56,10%,BECO Capital,Scaling rapidly in e-commerce delivery,22.41,8.12,19.03,7.81,0.64,2.36,1.18,96.0,7.42,2.23
MENA Logistics Co 87,Jordan,Logistics,Freight,36049629.37,29%,STV,Scaling rapidly in e-commerce delivery,8.37,1.81,17.36,3.33,1.45,1.36,0.57,35.0,4.02,2.0
MENA Logistics Co 88,Bahrain,Logistics,Cold Chain,5399827.24,32%,Global Founders,Tech-enabled fleet management,13.15,6.21,16.33,12.13,1.02,1.64,0.52,52.0,3.99,0.8
MENA Logistics Co 89,Bahrain,Logistics,Crowdsourced Delivery,18690718.0,22%,Raed Ventures,High customer satisfaction,13.92,17.65,17.11,7.42,0.82,1.91,1.36,75.0,5.98,2.25
MENA Logistics Co 90,Egypt,Logistics,Freight,33681209.57,20%,BECO Capital,Established regional presence,16.5,19.77,19.56,4.86,1.89,2.33,0.89,53.0,7.78,1.78
MENA Logistics Co 91,Jordan,Logistics,Express,41178241.41,28%,None,New warehouse in GCC free zone,20.07,4.89,7.77,2.73,1.1,1.24,0.87,90.0,7.22,0.88
MENA Logistics Co 92,Bahrain,Logistics,Cold Chain,34598116.54,39%,STV,Recently raised Series B,17.99,2.92,17.79,11.56,0.27,0.95,1.9,76.0,6.73,2.21
MENA Logistics Co 93,Morocco,Logistics,Freight,20142617.92,31%,None,Scaling rapidly in e-commerce delivery,25.46,5.66,3.44,2.88,1.67,1.09,1.07,34.0,4.28,1.09
MENA Logistics Co 94,Oman,Logistics,Cold Chain,27364241.91,38%,Global Founders,New warehouse in GCC free zone,23.77,1.62,4.17,9.92,1.19,1.18,1.17,87.0,9.5,1.16
MENA Logistics Co 95,Oman,Logistics,Warehouse Automation,32816946.78,37%,Sequoia,Recently raised Series B,21.14,17.54,19.43,6.7,1.32,1.5,0.73,60.0,11.95,1.56
MENA Logistics Co 96,Bahrain,Logistics,Last-Mile Delivery,47311726.84,38%,Sequoia,High customer satisfaction,5.75,7.27,13.45,2.63,2.0,1.96,1.74,52.0,9.19,1.42
MENA Logistics Co 97,Oman,Logistics,Freight,9521135.36,34%,STV,Recently raised Series B,20.6,18.02,16.05,9.24,0.95,1.5,1.54,62.0,9.71,0.7
MENA Logistics Co 98,Egypt,Logistics,Express,37823509.6,17%,STV,Tech-enabled fleet management,27.49,6.96,19.87,11.44,1.99,1.98,1.0,71.0,4.82,0.88
MENA Logistics Co 99,Jordan,Logistics,Last-Mile Delivery,38581122.28,32%,Raed Ventures,Tech-enabled fleet management,24.35,16.67,14.75,14.31,1.02,1.08,1.76,54.0,9.53,0.77
MENA Logistics Co 100,Egypt,Logistics,Cold Chain,18721174.98,23%,BECO Capital,New warehouse in GCC free zone,29.22,10.91,9.59,13.96,0.25,1.81,0.6,113.0,8.81,1.73
